Country,date,Cancer cases
Indonesia,Jun 1 2009,1345287
Indonesia,Jul 1 2009,1210060
Indonesia,Aug 1 2009,1281790
Indonesia,Sep 1 2009,1271529
Indonesia,Oct 1 2009,969981
Indonesia,Nov 1 2009,1301561
Indonesia,Dec 1 2009,1105982
Indonesia,Jan 1 2010,1573407
Indonesia,Feb 1 2010,1164577
Indonesia,Mar 1 2010,1456673
Spain,Jan 1 2000,1251457
Spain,Feb 1 2000,1264476
Spain,Mar 1 2000,1211991
Spain,Apr 1 2000,1350600
Spain,May 1 2000,1736771
Spain,Jun 1 2000,1059849
Spain,Jul 1 2000,1300287
Spain,Aug 1 2000,1547668
Spain,Sep 1 2000,1659702
Spain,Oct 1 2000,1253245
Spain,Nov 1 2000,918394
Spain,Dec 1 2000,1464494
Spain,Jan 1 2001,1805752
Spain,Feb 1 2001,1772258
Spain,Mar 1 2001,1436931
Spain,Apr 1 2001,1463693
Spain,May 1 2001,1086550
Spain,Jun 1 2001,1241968
Spain,Jul 1 2001,1291682
Spain,Aug 1 2001,1365305
Spain,Sep 1 2001,1793121
Spain,Oct 1 2001,1674325
Spain,Nov 1 2001,1519679
Spain,Dec 1 2001,1224027
Spain,Jan 1 2002,1263241
Spain,Feb 1 2002,1370188
Spain,Mar 1 2002,1196408
Spain,Apr 1 2002,1337897
Spain,May 1 2002,913005
Spain,Jun 1 2002,1101898
Spain,Jul 1 2002,1190567
Spain,Aug 1 2002,1151923
Spain,Sep 1 2002,1645189
Spain,Oct 1 2002,1861984
Spain,Nov 1 2002,1163010
Spain,Dec 1 2002,1283031
Spain,Jan 1 2003,948092
Spain,Feb 1 2003,1256652
Spain,Mar 1 2003,1325067
Spain,Apr 1 2003,1016105
Spain,May 1 2003,1499894
Spain,Jun 1 2003,1774239
Spain,Jul 1 2003,1073304
Spain,Aug 1 2003,1708741
Spain,Sep 1 2003,1884654
Spain,Oct 1 2003,984103
Spain,Nov 1 2003,1535227
Spain,Dec 1 2003,1645163
Spain,Jan 1 2004,1426937
Spain,Feb 1 2004,927747
Spain,Mar 1 2004,1526114
Spain,Apr 1 2004,982096
Spain,May 1 2004,1550400
Spain,Jun 1 2004,1740751
Spain,Jul 1 2004,1827394
Spain,Aug 1 2004,1680853
Spain,Sep 1 2004,1723139
Spain,Oct 1 2004,1762781
Spain,Nov 1 2004,1091282
Spain,Dec 1 2004,1413257
Spain,Jan 1 2005,1566296
Spain,Feb 1 2005,966249
Spain,Mar 1 2005,1438396
Spain,Apr 1 2005,1569958
Spain,May 1 2005,1191062
Spain,Jun 1 2005,1284195
Spain,Jul 1 2005,980788
Spain,Aug 1 2005,1453705
Spain,Sep 1 2005,1360454
Spain,Oct 1 2005,1096812
Spain,Nov 1 2005,1179452
Spain,Dec 1 2005,913415
Spain,Jan 1 2006,1025690
Spain,Feb 1 2006,1394702
Spain,Mar 1 2006,1590332
Spain,Apr 1 2006,1237672
Spain,May 1 2006,1511461
Spain,Jun 1 2006,1467620
Spain,Jul 1 2006,1012565
Spain,Aug 1 2006,1773745
Spain,Sep 1 2006,1682158
Spain,Oct 1 2006,1851693
Spain,Nov 1 2006,1472974
Spain,Dec 1 2006,1832497
Spain,Jan 1 2007,1493499
Spain,Feb 1 2007,1134008
Spain,Mar 1 2007,1333073
Spain,Apr 1 2007,1796586
Spain,May 1 2007,1425528
Spain,Jun 1 2007,1614931
Spain,Jul 1 2007,927585
Spain,Aug 1 2007,1344639
Spain,Sep 1 2007,1302271
Spain,Oct 1 2007,1656675
Spain,Nov 1 2007,1657442
Spain,Dec 1 2007,1110582
Spain,Jan 1 2008,1727527
Spain,Feb 1 2008,1815568
Spain,Mar 1 2008,1628270
Spain,Apr 1 2008,1079865
Spain,May 1 2008,1340240
Spain,Jun 1 2008,1051780
Spain,Jul 1 2008,1556895
Spain,Aug 1 2008,1677068
Spain,Sep 1 2008,1429649
Spain,Oct 1 2008,1053735
Spain,Nov 1 2008,1225357
Spain,Dec 1 2008,1139500
Spain,Jan 1 2009,998807
Spain,Feb 1 2009,1864200
Spain,Mar 1 2009,1066259
Spain,Apr 1 2009,1086421
Spain,May 1 2009,1457837
Spain,Jun 1 2009,1424725
Spain,Jul 1 2009,1566313
Spain,Aug 1 2009,1781775
Spain,Sep 1 2009,1218844
Spain,Oct 1 2009,1329611
Spain,Nov 1 2009,1756194
Spain,Dec 1 2009,1781252
Spain,Jan 1 2010,1865200
Spain,Feb 1 2010,1057589
Spain,Mar 1 2010,1615670
Philippines,Jan 1 2000,1221983
Philippines,Feb 1 2000,1864258
Philippines,Mar 1 2000,1619730
Philippines,Apr 1 2000,1537374
Philippines,May 1 2000,1039665
Philippines,Jun 1 2000,1719100
Philippines,Jul 1 2000,1692581
Philippines,Aug 1 2000,1506255
Philippines,Sep 1 2000,1445170
Philippines,Oct 1 2000,1517362
Philippines,Nov 1 2000,1726839
Philippines,Dec 1 2000,1594001
Philippines,Jan 1 2001,1731868
Philippines,Feb 1 2001,1064922
Philippines,Mar 1 2001,1718240
Philippines,Apr 1 2001,1287304
Philippines,May 1 2001,1667617
Philippines,Jun 1 2001,1569677
Philippines,Jul 1 2001,1051930
Philippines,Aug 1 2001,1086309
Philippines,Sep 1 2001,1708012
Philippines,Oct 1 2001,1556704
Philippines,Nov 1 2001,1393119
Philippines,Dec 1 2001,1754149
Philippines,Jan 1 2002,1184800
Philippines,Feb 1 2002,1384033
Philippines,Mar 1 2002,1165132
Philippines,Apr 1 2002,1086761
Philippines,May 1 2002,921925
Philippines,Jun 1 2002,1471437
Philippines,Jul 1 2002,1343167
Philippines,Aug 1 2002,1349416
Philippines,Sep 1 2002,1876814
Philippines,Oct 1 2002,1036868
Philippines,Nov 1 2002,1619849
Philippines,Dec 1 2002,1599794
Philippines,Jan 1 2003,1321043
Philippines,Feb 1 2003,1779647
Philippines,Mar 1 2003,1599309
Philippines,Apr 1 2003,1015007
Philippines,May 1 2003,1171753
Philippines,Jun 1 2003,1107658
Philippines,Jul 1 2003,914917
Philippines,Aug 1 2003,1177865
Philippines,Sep 1 2003,1072428
Philippines,Oct 1 2003,1632474
Philippines,Nov 1 2003,1639206
Philippines,Dec 1 2003,1518806
Philippines,Jan 1 2004,1787248
Philippines,Feb 1 2004,1234155
Philippines,Mar 1 2004,1290649
Philippines,Apr 1 2004,1218839
Philippines,May 1 2004,1293718
Philippines,Jun 1 2004,1539314
Philippines,Jul 1 2004,1458271
Philippines,Aug 1 2004,1871405
Philippines,Sep 1 2004,1445271
Philippines,Oct 1 2004,1761397
Philippines,Nov 1 2004,1745917
Philippines,Dec 1 2004,1635784
Philippines,Jan 1 2005,1759804
Philippines,Feb 1 2005,1291244
Philippines,Mar 1 2005,1148622
Philippines,Apr 1 2005,1255896
Philippines,May 1 2005,1087861
Philippines,Jun 1 2005,1816143
Philippines,Jul 1 2005,1072340
Philippines,Aug 1 2005,1113459
Philippines,Sep 1 2005,1094440
Philippines,Oct 1 2005,1459253
Philippines,Nov 1 2005,1553099
Philippines,Dec 1 2005,1016850
Philippines,Jan 1 2006,1343869
Philippines,Feb 1 2006,1405748
Philippines,Mar 1 2006,1890659
Philippines,Apr 1 2006,1523206
Philippines,May 1 2006,1314975
Philippines,Jun 1 2006,1418415
Philippines,Jul 1 2006,1791988
Philippines,Aug 1 2006,1323971
Philippines,Sep 1 2006,1295249
Philippines,Oct 1 2006,1248744
Philippines,Nov 1 2006,1199957
Philippines,Dec 1 2006,1750222
Philippines,Jan 1 2007,1182372
Philippines,Feb 1 2007,1444833
Philippines,Mar 1 2007,1008511
Philippines,Apr 1 2007,942334
Philippines,May 1 2007,1841624
Philippines,Jun 1 2007,928483
Philippines,Jul 1 2007,1645335
Philippines,Aug 1 2007,1348221
Philippines,Sep 1 2007,1789778
Philippines,Oct 1 2007,1195464
Philippines,Nov 1 2007,1268108
Philippines,Dec 1 2007,1665741
Philippines,Jan 1 2008,1171063
Philippines,Feb 1 2008,1422330
Philippines,Mar 1 2008,1525825
Philippines,Apr 1 2008,1173339
Philippines,May 1 2008,1659141
Philippines,Jun 1 2008,1252105
Philippines,Jul 1 2008,1240809
Philippines,Aug 1 2008,1706462
Philippines,Sep 1 2008,1198420
Philippines,Oct 1 2008,1898000
Philippines,Nov 1 2008,1564719
Philippines,Dec 1 2008,1452717
Philippines,Jan 1 2009,1440424
Philippines,Feb 1 2009,1533358
Philippines,Mar 1 2009,1669543
Philippines,Apr 1 2009,1615937
Philippines,May 1 2009,1821222
Philippines,Jun 1 2009,1843566
Philippines,Jul 1 2009,1423138
Philippines,Aug 1 2009,1055066
Philippines,Sep 1 2009,1245411
Philippines,Oct 1 2009,1416046
Philippines,Nov 1 2009,1599376
Philippines,Dec 1 2009,1400825
Philippines,Jan 1 2010,1617685
Philippines,Feb 1 2010,1128101
Philippines,Mar 1 2010,1217025
Chile,Jan 1 2000,589468
Chile,Feb 1 2000,548403
Chile,Mar 1 2000,475168
Chile,Apr 1 2000,257559
Chile,May 1 2000,267916
Chile,Jun 1 2000,560142
Chile,Jul 1 2000,304975
Chile,Aug 1 2000,205245
Chile,Sep 1 2000,428952
Chile,Oct 1 2000,577900
Chile,Nov 1 2000,278845
Chile,Dec 1 2000,442042
Chile,Jan 1 2001,393545
Chile,Feb 1 2001,220401
Chile,Mar 1 2001,380861
Chile,Apr 1 2001,400898
Chile,May 1 2001,201829
Chile,Jun 1 2001,381507
Chile,Jul 1 2001,365778
Chile,Aug 1 2001,259372
Chile,Sep 1 2001,283758
Chile,Oct 1 2001,423117
Chile,Nov 1 2001,525739
Chile,Dec 1 2001,338722
Chile,Jan 1 2002,497513
Chile,Feb 1 2002,493271
Chile,Mar 1 2002,578982
Chile,Apr 1 2002,594682
Chile,May 1 2002,548790
Chile,Jun 1 2002,524418
Chile,Jul 1 2002,361055
Chile,Aug 1 2002,463448
Chile,Sep 1 2002,291361
Chile,Oct 1 2002,475888
Chile,Nov 1 2002,263879
Chile,Dec 1 2002,217550
Chile,Jan 1 2003,577685
Chile,Feb 1 2003,463174
Chile,Mar 1 2003,416553
Chile,Apr 1 2003,494567
Chile,May 1 2003,400523
Chile,Jun 1 2003,566058
Chile,Jul 1 2003,582851
Chile,Aug 1 2003,464125
Chile,Sep 1 2003,420826
Chile,Oct 1 2003,255144
Chile,Nov 1 2003,456221
Chile,Dec 1 2003,282417
Chile,Jan 1 2004,299094
Chile,Feb 1 2004,460090
Chile,Mar 1 2004,449996
Chile,Apr 1 2004,420440
Chile,May 1 2004,507820
Chile,Jun 1 2004,396101
Chile,Jul 1 2004,351495
Chile,Aug 1 2004,520706
Chile,Sep 1 2004,470367
Chile,Oct 1 2004,330521
Chile,Nov 1 2004,402374
Chile,Dec 1 2004,547292
Chile,Jan 1 2005,520514
Chile,Feb 1 2005,339286
Chile,Mar 1 2005,502165
Chile,Apr 1 2005,504699
Chile,May 1 2005,507702
Chile,Jun 1 2005,429247
Chile,Jul 1 2005,289642
Chile,Aug 1 2005,225515
Chile,Sep 1 2005,222343
Chile,Oct 1 2005,399772
Chile,Nov 1 2005,583994
Chile,Dec 1 2005,203508
Chile,Jan 1 2006,516459
Chile,Feb 1 2006,366464
Chile,Mar 1 2006,484911
Chile,Apr 1 2006,301114
Chile,May 1 2006,488906
Chile,Jun 1 2006,374750
Chile,Jul 1 2006,312467
Chile,Aug 1 2006,474121
Chile,Sep 1 2006,412365
Chile,Oct 1 2006,441081
Chile,Nov 1 2006,502768
Chile,Dec 1 2006,563742
Chile,Jan 1 2007,242422
Chile,Feb 1 2007,563548
Chile,Mar 1 2007,306372
Chile,Apr 1 2007,231557
Chile,May 1 2007,380425
Chile,Jun 1 2007,532431
Chile,Jul 1 2007,366099
Chile,Aug 1 2007,576297
Chile,Sep 1 2007,542626
Chile,Oct 1 2007,526558
Chile,Nov 1 2007,307699
Chile,Dec 1 2007,448056
Chile,Jan 1 2008,475417
Chile,Feb 1 2008,344026
Chile,Mar 1 2008,516089
Chile,Apr 1 2008,360497
Chile,May 1 2008,443393
Chile,Jun 1 2008,452528
Chile,Jul 1 2008,443819
Chile,Aug 1 2008,562836
Chile,Sep 1 2008,387430
Chile,Oct 1 2008,284356
Chile,Nov 1 2008,272942
Chile,Dec 1 2008,281034
Chile,Jan 1 2009,343880
Chile,Feb 1 2009,480580
Chile,Mar 1 2009,437329
Chile,Apr 1 2009,581512
Chile,May 1 2009,575151
Chile,Jun 1 2009,306934
Chile,Jul 1 2009,463675
Chile,Aug 1 2009,253083
Chile,Sep 1 2009,397932
Chile,Oct 1 2009,359364
Chile,Nov 1 2009,376299
Chile,Dec 1 2009,297222
Chile,Jan 1 2010,240044
Chile,Feb 1 2010,595920
Chile,Mar 1 2010,490821
Nigeria,Jan 1 2000,930430
Nigeria,Feb 1 2000,1708457
Nigeria,Mar 1 2000,1810842
Nigeria,Apr 1 2000,1211794
Nigeria,May 1 2000,1442434
Nigeria,Jun 1 2000,1169278
Nigeria,Jul 1 2000,1738815
Nigeria,Aug 1 2000,1742464
Nigeria,Sep 1 2000,1360795
Nigeria,Oct 1 2000,1165391
Nigeria,Nov 1 2000,938258
Nigeria,Dec 1 2000,1209932
Nigeria,Jan 1 2001,1337491
Nigeria,Feb 1 2001,1852864
Nigeria,Mar 1 2001,1175305
Nigeria,Apr 1 2001,1677400
Nigeria,May 1 2001,1664304
Nigeria,Jun 1 2001,1467360
Nigeria,Jul 1 2001,1669237
Nigeria,Aug 1 2001,1075391
Nigeria,Sep 1 2001,1539452
Nigeria,Oct 1 2001,1791954
Nigeria,Nov 1 2001,1365703
Nigeria,Dec 1 2001,1787079
Nigeria,Jan 1 2002,1504023
Nigeria,Feb 1 2002,1421519
Nigeria,Mar 1 2002,1468098
Nigeria,Apr 1 2002,1593337
Nigeria,May 1 2002,1488513
Nigeria,Jun 1 2002,1248956
Nigeria,Jul 1 2002,1710780
Nigeria,Aug 1 2002,1715554
Nigeria,Sep 1 2002,1085149
Nigeria,Oct 1 2002,1445741
Nigeria,Nov 1 2002,1619052
Nigeria,Dec 1 2002,1781058
Nigeria,Jan 1 2003,1203512
Nigeria,Feb 1 2003,1318183
Nigeria,Mar 1 2003,1485704
Nigeria,Apr 1 2003,1644496
Nigeria,May 1 2003,1260921
Nigeria,Jun 1 2003,1260952
Nigeria,Jul 1 2003,1142350
Nigeria,Aug 1 2003,1249556
Nigeria,Sep 1 2003,1496102
Nigeria,Oct 1 2003,1202965
Nigeria,Nov 1 2003,1118710
Nigeria,Dec 1 2003,1174569
Nigeria,Jan 1 2004,1152860
Nigeria,Feb 1 2004,1885102
Nigeria,Mar 1 2004,920640
Nigeria,Apr 1 2004,1123981
Nigeria,May 1 2004,1882557
Nigeria,Jun 1 2004,1645946
Nigeria,Jul 1 2004,1456163
Nigeria,Aug 1 2004,1406811
Nigeria,Sep 1 2004,961655
Nigeria,Oct 1 2004,1821248
Nigeria,Nov 1 2004,1000049
Nigeria,Dec 1 2004,1539664
Nigeria,Jan 1 2005,1627411
Nigeria,Feb 1 2005,1395349
Nigeria,Mar 1 2005,1633776
Nigeria,Apr 1 2005,1379469
Nigeria,May 1 2005,918741
Nigeria,Jun 1 2005,1683056
Nigeria,Jul 1 2005,1604753
Nigeria,Aug 1 2005,1086835
Nigeria,Sep 1 2005,1073862
Nigeria,Oct 1 2005,1558984
Nigeria,Nov 1 2005,1876061
